cat1,cat_id,trade_rows,sensitivity_units,rank,trade_row_share_pct,cumulative_trade_row_share_pct,segment
50008168,50156020,92,102,62,0.30696339795135297,67.51192819725733,Head group: first 80% of trade rows
50014815,50014271,90,176,63,0.3002902806045844,67.81221847786192,Head group: first 80% of trade rows
50008168,50146022,87,101,64,0.2902806045844316,68.10249908244636,Head group: first 80% of trade rows
50022520,50006032,85,118,65,0.28360748723766305,68.38610656968402,Head group: first 80% of trade rows
50008168,121424027,84,96,66,0.2802709285642788,68.6663774982483,Head group: first 80% of trade rows
28,50016010,80,345,67,0.2669246938707417,68.93330219211904,Head group: first 80% of trade rows
28,50012474,79,159,68,0.26358813519735746,69.1968903273164,Head group: first 80% of trade rows
28,50015841,79,82,69,0.26358813519735746,69.46047846251375,Head group: first 80% of trade rows
122650008,50012367,78,84,70,0.2602515765239732,69.72073003903772,Head group: first 80% of trade rows
38,50018615,76,208,71,0.2535784591772046,69.97430849821492,Head group: first 80% of trade rows
28,250822,75,440,72,0.25024190050382034,70.22455039871875,Head group: first 80% of trade rows
50022520,50006028,74,82,73,0.24690534183043608,70.47145574054919,Head group: first 80% of trade rows
28,50023663,73,150,74,0.24356878315705183,70.71502452370623,Head group: first 80% of trade rows
50008168,50010538,72,76,75,0.24023222448366754,70.9552567481899,Head group: first 80% of trade rows
28,50000820,70,309,76,0.23355910713689898,71.1888158553268,Head group: first 80% of trade rows
28,50023531,69,218,77,0.23022254846351473,71.41903840379031,Head group: first 80% of trade rows
50014815,50012438,69,69,78,0.23022254846351473,71.64926095225383,Head group: first 80% of trade rows
50008168,50014530,68,83,79,0.22688598979013047,71.87614694204396,Head group: first 80% of trade rows
50008168,50016030,68,214,80,0.22688598979013047,72.1030329318341,Head group: first 80% of trade rows
50014815,211130,68,98,81,0.22688598979013047,72.32991892162423,Head group: first 80% of trade rows
38,50018825,67,152,82,0.2235494311167462,72.55346835274098,Head group: first 80% of trade rows
38,50018824,66,180,83,0.22021287244336193,72.77368122518433,Head group: first 80% of trade rows
50014815,50012456,65,241,84,0.21687631376997762,72.9905575389543,Head group: first 80% of trade rows
28,50013176,64,65,85,0.21353975509659337,73.2040972940509,Head group: first 80% of trade rows
28,50006097,63,64,86,0.21020319642320912,73.4143004904741,Head group: first 80% of trade rows
50014815,50006520,63,410,87,0.21020319642320912,73.62450368689731,Head group: first 80% of trade rows
50014815,50012245,63,95,88,0.21020319642320912,73.83470688332052,Head group: first 80% of trade rows
28,50015146,62,119,89,0.20686663774982483,74.04157352107035,Head group: first 80% of trade rows
50014815,50014744,62,215,90,0.20686663774982483,74.24844015882017,Head group: first 80% of trade rows
50008168,121364022,61,68,91,0.20353007907644055,74.45197023789662,Head group: first 80% of trade rows
28,50023638,60,97,92,0.20019352040305627,74.65216375829968,Head group: first 80% of trade rows
50008168,50012328,60,62,93,0.20019352040305627,74.85235727870274,Head group: first 80% of trade rows
50014815,50009542,60,65,94,0.20019352040305627,75.0525507991058,Head group: first 80% of trade rows
50008168,50007012,59,64,95,0.19685696172967201,75.24940776083547,Head group: first 80% of trade rows
50022520,50011882,59,119,96,0.19685696172967201,75.44626472256513,Head group: first 80% of trade rows
28,203322,57,90,97,0.19018384438290348,75.63644856694803,Head group: first 80% of trade rows
50008168,121462075,57,194,98,0.19018384438290348,75.82663241133093,Head group: first 80% of trade rows
50014815,50014277,57,62,99,0.19018384438290348,76.01681625571383,Head group: first 80% of trade rows
50022520,50012378,57,57,100,0.19018384438290348,76.20700010009674,Head group: first 80% of trade rows
28,50008856,56,57,101,0.1868472857095192,76.39384738580625,Head group: first 80% of trade rows
28,50019069,56,87,102,0.1868472857095192,76.58069467151577,Head group: first 80% of trade rows
50008168,50012449,56,68,103,0.1868472857095192,76.76754195722529,Head group: first 80% of trade rows
50014815,50018412,56,108,104,0.1868472857095192,76.95438924293481,Head group: first 80% of trade rows
50014815,50006042,55,58,105,0.18351072703613494,77.13789996997095,Head group: first 80% of trade rows
28,50006095,54,54,106,0.18017416836275066,77.3180741383337,Head group: first 80% of trade rows
28,50016032,54,100,107,0.18017416836275066,77.49824830669645,Head group: first 80% of trade rows
50014815,50012244,54,140,108,0.18017416836275066,77.67842247505921,Head group: first 80% of trade rows
28,50023722,53,59,109,0.17683760968936638,77.85526008474858,Head group: first 80% of trade rows
28,50008807,52,272,110,0.17350105101598212,78.02876113576455,Head group: first 80% of trade rows
28,50013881,51,88,111,0.17016449234259784,78.19892562810715,Head group: first 80% of trade rows
50014815,50012432,51,54,112,0.17016449234259784,78.36909012044974,Head group: first 80% of trade rows
28,50023661,50,56,113,0.16682793366921356,78.53591805411895,Head group: first 80% of trade rows
